"Date","Flux","Ts","Ta","Moist_raw","Season","G_1h","G_6h","G_1d","G_15d"
2018-06-01 09:30:00,0.73,8.625,28.5625,3606,"S",0,0,0,0
2018-06-01 09:40:00,0.68,8.625,31,3603,"S",0,0,0,0
2018-06-01 09:50:00,0.74,8.625,32.625,3602,"S",0,0,0,0
2018-06-01 10:00:00,0.58,8.625,31.75,3600,"S",0,0,0,0
2018-06-01 10:10:00,0.84,8.625,32.125,3600,"S",0,0,0,0
2018-06-01 10:20:00,0.72,8.625,28.75,3599,"S",0,0,0,0
2018-06-01 10:30:00,1.04,8.625,29.875,3597,"S",0,0,0,0
2018-06-01 10:40:00,0.9,8.5625,31,3596,"S",0,0,0,0
2018-06-01 10:50:00,0.9,8.5625,31.6875,3592,"S",0,0,0,0
2018-06-01 11:00:00,0.81,8.5625,31.75,3592,"S",0,0,0,0
2018-06-01 11:10:00,0.84,8.5625,31.875,3592,"S",0,0,0,0
2018-06-01 11:20:00,0.87,8.5,31.8125,3592,"S",0,0,0,0
2018-06-01 11:30:00,0.74,8.5,31.625,3590,"S",0,0,0,0
2018-06-01 11:40:00,0.95,8.5,31.75,3589,"S",0,0,0,0
2018-06-01 11:50:00,0.89,8.5,31.5625,3589,"S",0,0,0,0
2018-06-01 12:00:00,0.77,8.5,31.625,3589,"S",0,0,0,0
2018-06-01 12:10:00,0.74,8.5,31.25,3588,"S",0,0,0,0
2018-06-01 12:20:00,0.79,8.5,30.75,3588,"S",0,0,0,0
2018-06-01 12:30:00,0.7,8.5,30.625,3588,"S",0,0,0,0
2018-06-01 12:40:00,0.77,8.5,30.4375,3588,"S",0,0,0,0
2018-06-01 12:50:00,0.9,8.5,30.1875,3587,"S",0,0,0,0
2018-06-01 13:00:00,0.97,8.5,30,3584,"S",0,0,0,0
2018-06-01 13:10:00,0.83,8.5,30,3584,"S",0,0,0,0
2018-06-01 13:20:00,0.76,8.5,29.625,3583,"S",0,0,0,0
2018-06-01 13:30:00,0.88,8.5,29.0625,3585,"S",0,0,0,0
2018-06-01 13:40:00,0.92,8.5,29.5,3585,"S",0,0,0,0
2018-06-01 13:50:00,0.82,8.5,29.75,3585,"S",0,0,0,0
2018-06-01 14:00:00,0.83,8.5,28.5,3585,"S",0,0,0,0
2018-06-01 14:10:00,0.6,8.5,26.25,3584,"S",0,0,0,0
2018-06-01 14:20:00,0.83,8.5,25.4375,3584,"S",0,0,0,0
2018-06-01 14:30:00,0.92,8.5625,25.0625,3584,"S",0,0,0,0
2018-06-01 14:40:00,0.99,8.5625,24.125,3584,"S",0,0,0,0
2018-06-01 14:50:00,1.03,8.5625,23.4375,3584,"S",0,0,0,0
2018-06-01 15:00:00,1.06,8.625,23,3584,"S",0,0,0,0
2018-06-01 15:10:00,1,8.625,22.25,3584,"S",0,0,0,0
2018-06-01 15:20:00,1.16,8.625,22.125,3584,"S",0,0,0,0
2018-06-01 15:30:00,1.16,8.625,22.75,3584,"S",0,0,0,0
2018-06-01 15:40:00,1.25,8.625,23.125,3584,"S",0,0,0,0
2018-06-01 15:50:00,1.13,8.625,23,3584,"S",0,0,0,0
2018-06-01 16:00:00,1.19,8.6875,23,3584,"S",0,0,0,0
2018-06-01 16:10:00,1.29,8.75,22.75,3581,"S",0,0,0,0
2018-06-01 16:20:00,1.42,8.75,22.5,3581,"S",0,0,0,0
2018-06-01 16:30:00,1.55,8.75,21.875,3581,"S",0,0,0,0
2018-06-01 16:40:00,1.82,8.75,21.75,3581,"S",0,0,0,0
2018-06-01 16:50:00,1.77,8.75,22.125,3581,"S",0,0,0,0
2018-06-01 17:00:00,1.32,8.8125,23.3125,3580,"S",0,0,0,0
2018-06-01 17:10:00,1.23,8.8125,22.75,3580,"S",0,0,0,0
2018-06-01 17:20:00,1.34,8.8125,22.1875,3581,"S",0,0,0,0
2018-06-01 17:30:00,1.37,8.875,21.75,3581,"S",0,0,0,0
2018-06-01 17:40:00,1.32,8.875,21.5,3581,"S",0,0,0,0
2018-06-01 17:50:00,1.05,8.875,21,3581,"S",0,0,0,0
2018-06-01 18:00:00,1.31,8.875,20.6875,3580,"S",0,0,0,0
